날짜,코드,물류 기기,수량
20201216,1,A,123
20201217,1,A,112
20201218,1,A,111
20201219,1,A,7
20201221,1,A,99
20201222,1,A,91
20201223,1,A,87
20201224,1,A,99
20201225,1,A,7
20201226,1,A,22
20201228,1,A,117
20201229,1,A,48
20201230,1,A,106
20201231,1,A,58
20210102,1,A,12
20210104,1,A,72
20210105,1,A,177
20210106,1,A,136
20210107,1,A,147
20210108,1,A,97
20210109,1,A,37
20210111,1,A,90
20210112,1,A,88
20210113,1,A,100
20210114,1,A,64
20210115,1,A,102
20210116,1,A,31
20210118,1,A,76
20210119,1,A,106
20210120,1,A,109
20210121,1,A,94
20210122,1,A,79
20210123,1,A,40
20210125,1,A,81
20210126,1,A,73
20210127,1,A,123
20210128,1,A,55
20210129,1,A,49
20210130,1,A,6
20210201,1,A,66
20210202,1,A,150
20210203,1,A,129
20210204,1,A,123
20210205,1,A,114
20210206,1,A,34
20210208,1,A,82
20210209,1,A,94
20210210,1,A,60
20210211,1,A,4
20210215,1,A,55
20210216,1,A,57
20210217,1,A,124
20210218,1,A,105
20210219,1,A,39
20210220,1,A,13
20210222,1,A,159
20210223,1,A,91
20210224,1,A,108
20210225,1,A,69
20210226,1,A,121
20210227,1,A,6
20210301,1,A,24
20210302,1,A,66
20210303,1,A,174
20210304,1,A,117
20210305,1,A,115
20210306,1,A,21
20210308,1,A,150
20210309,1,A,111
20210310,1,A,114
20210311,1,A,61
20210312,1,A,75
20210313,1,A,1
20210315,1,A,69
20210316,1,A,58
20210317,1,A,85
20210318,1,A,78
20210319,1,A,43
20210320,1,A,16
20210322,1,A,102
20210323,1,A,88
20210324,1,A,93
20210325,1,A,97
20210326,1,A,82
20210327,1,A,1
20210329,1,A,43
20210330,1,A,81
20210331,1,A,45
20210401,1,A,72
20210402,1,A,94
20210403,1,A,13
20210405,1,A,81
20210406,1,A,217
20210407,1,A,96
20210408,1,A,117
20210409,1,A,160
20210412,1,A,81
20210413,1,A,60
20210414,1,A,151
20210415,1,A,76
20210416,1,A,49
20210417,1,A,7
20210419,1,A,171
20210420,1,A,114
20210421,1,A,96
20210422,1,A,94
20210423,1,A,181
20210424,1,A,12
20210426,1,A,87
20210427,1,A,61
20210428,1,A,211
20210429,1,A,118
20210430,1,A,48
20210501,1,A,7
20210503,1,A,84
20210504,1,A,115
20210505,1,A,15
20210506,1,A,120
20210507,1,A,112
20210508,1,A,30
20210510,1,A,136
20210511,1,A,115
20210512,1,A,60
20210513,1,A,130
20210514,1,A,91
20210515,1,A,19
20210517,1,A,67
20210518,1,A,75
20210519,1,A,30
20210520,1,A,88
20210521,1,A,136
20210522,1,A,12
20210524,1,A,82
20210525,1,A,81
20210526,1,A,64
20210527,1,A,90
20210528,1,A,85
20210531,1,A,102
20210601,1,A,49
20210602,1,A,99
20210603,1,A,87
20210604,1,A,37
20210605,1,A,18
20210607,1,A,61
20210608,1,A,75
20210609,1,A,97
20210610,1,A,54
20210611,1,A,43
20210612,1,A,13
20210614,1,A,63
20210615,1,A,46
20210616,1,A,93
20210617,1,A,39
20210618,1,A,43
20210621,1,A,51
20210622,1,A,43
20210623,1,A,78
20210624,1,A,67
20210625,1,A,55
20210626,1,A,7
20210628,1,A,48
20210629,1,A,82
20210630,1,A,21
20210701,1,A,82
20210702,1,A,76
20210703,1,A,15
20210705,1,A,88
20210706,1,A,141
20210707,1,A,67
20210708,1,A,96
20210709,1,A,66
20210710,1,A,6
20210712,1,A,123
20210713,1,A,88
20210714,1,A,93
20210715,1,A,84
20210716,1,A,61
20210717,1,A,9
20210719,1,A,72
20210720,1,A,90
20210721,1,A,39
20210722,1,A,9
20210723,1,A,18
20210724,1,A,12
20210726,1,A,36
20210727,1,A,9
20210728,1,A,22
20210729,1,A,37
20210730,1,A,130
20210802,1,A,75
20210803,1,A,72
20210804,1,A,132
20210805,1,A,84
20210806,1,A,82
20210807,1,A,25
20210809,1,A,61
20210810,1,A,106
20210811,1,A,85
20210814,1,A,33
20210816,1,A,67
20210817,1,A,15
20210818,1,A,109
20210819,1,A,105
20210820,1,A,123
20210821,1,A,4
20210823,1,A,60
20210824,1,A,43
20210825,1,A,84
20210826,1,A,24
20210827,1,A,39
20210828,1,A,10
20210830,1,A,66
20210831,1,A,10573
20210901,1,A,108
20210902,1,A,87
20210903,1,A,147
20210904,1,A,49
20210905,1,A,610
20210906,1,A,79
20210907,1,A,88
20210908,1,A,91
20210909,1,A,90
20210910,1,A,87
20210911,1,A,15
20210913,1,A,60
20210914,1,A,102
20210915,1,A,99
20210916,1,A,90
20210917,1,A,40
20210918,1,A,10
20210923,1,A,189
20210924,1,A,154
20210925,1,A,4
20210927,1,A,148
20210928,1,A,90
20210929,1,A,109
20210930,1,A,84
20211001,1,A,73
20211002,1,A,19
20211004,1,A,21
20211005,1,A,81
20211006,1,A,147
20211007,1,A,138
20211008,1,A,127
20211009,1,A,13
20211011,1,A,40
20211012,1,A,103
20211013,1,A,67
20211014,1,A,130
20211015,1,A,99
20211018,1,A,142
20211019,1,A,136
20211020,1,A,82
20211021,1,A,87
20211022,1,A,55
20211023,1,A,10
20211025,1,A,60
20211026,1,A,37
20211027,1,A,226
20211028,1,A,169
20211029,1,A,46
20211031,1,A,64948
20211101,1,A,79
20211102,1,A,94
20211103,1,A,129
20211104,1,A,106
20211105,1,A,69
20211106,1,A,9
20211108,1,A,55
20211109,1,A,115
20211110,1,A,87
20211111,1,A,139
20211112,1,A,175
20211113,1,A,13
20211115,1,A,126
20211116,1,A,169
20211117,1,A,84
20211118,1,A,133
20211119,1,A,93
20211120,1,A,3
20211122,1,A,111
20211123,1,A,72
20211124,1,A,78
20211125,1,A,72
20211126,1,A,66
20211127,1,A,12
20211129,1,A,49
20211130,1,A,52
20211201,1,A,136
20211202,1,A,85
20211203,1,A,51
20211204,1,A,21
20211206,1,A,72
20211207,1,A,70
20211208,1,A,90
20211209,1,A,100
20211210,1,A,72
20211211,1,A,6
20211213,1,A,67
20211214,1,A,108
20211215,1,A,115
20211216,1,A,156
20211217,1,A,154
20211218,1,A,10
20211220,1,A,51
20211221,1,A,66
20211222,1,A,54
20211223,1,A,121
20211224,1,A,58
20211225,1,A,45
20211227,1,A,67
20211228,1,A,121
20211229,1,A,103
20211230,1,A,108
20211231,1,A,76
20220103,1,A,46
20220104,1,A,78
20220105,1,A,154
20220106,1,A,99
20220107,1,A,108
20220108,1,A,36
20220110,1,A,150
20220111,1,A,126
20220112,1,A,256
20220113,1,A,129
20220114,1,A,78
20220115,1,A,15
20220117,1,A,52
20220118,1,A,105
20220119,1,A,66
20220120,1,A,115
20220121,1,A,183
20220122,1,A,3
20220124,1,A,108
20220125,1,A,118
20220126,1,A,93
20220127,1,A,133
20220128,1,A,49
20220203,1,A,172
20220204,1,A,178
20220205,1,A,39
20220207,1,A,234
20220208,1,A,376
20220209,1,A,507
20220210,1,A,352
20220211,1,A,330
20220212,1,A,58
20220214,1,A,304
20220215,1,A,249
20220216,1,A,388
20220217,1,A,297
20220218,1,A,312
20220219,1,A,69
20220221,1,A,210
20220222,1,A,387
20220223,1,A,424
20220224,1,A,408
20220225,1,A,345
20220226,1,A,48
20220228,1,A,103
20220301,1,A,88
20220302,1,A,58
20220303,1,A,246
20220304,1,A,160
20220305,1,A,64
20220307,1,A,147
20220308,1,A,202
20220309,1,A,147
20220310,1,A,190
20220311,1,A,178
20220312,1,A,30
20220314,1,A,184
20220315,1,A,210
20220316,1,A,189
20220317,1,A,213
20220318,1,A,114
20220319,1,A,48
20220321,1,A,153
20220322,1,A,202
20220323,1,A,168
20220324,1,A,246
20220325,1,A,153
20220326,1,A,43
20220328,1,A,169
20220329,1,A,211
20220330,1,A,136
20220331,1,A,157
20220401,1,A,163
20220402,1,A,36
20220404,1,A,163
20220405,1,A,234
20220406,1,A,355
20220407,1,A,267
20220408,1,A,186
20220409,1,A,16
20220411,1,A,142
20220412,1,A,127
20220413,1,A,235
20220414,1,A,225
20220415,1,A,196
20220416,1,A,22
20220418,1,A,382
20220419,1,A,193
20220420,1,A,327
20220421,1,A,219
20220422,1,A,171
20220423,1,A,43
20220425,1,A,249
20220426,1,A,103
20220427,1,A,265
20220428,1,A,267
20220429,1,A,219
20220430,1,A,45
20220501,1,A,1242
20220502,1,A,261
20220503,1,A,243
20220504,1,A,340
20220505,1,A,49
20220506,1,A,348
20220507,1,A,52
20220509,1,A,286
20220510,1,A,231
20220511,1,A,277
20220512,1,A,268
20220513,1,A,192
20220514,1,A,82
20220516,1,A,220
20220517,1,A,370
20220518,1,A,265
20220519,1,A,345
20220520,1,A,249
20220521,1,A,84
20220523,1,A,334
20220524,1,A,172
20220525,1,A,295
20220526,1,A,319
20220527,1,A,202
20220528,1,A,114
20220530,1,A,243
20220531,1,A,178
20220601,1,A,84
20220602,1,A,234
20220603,1,A,180
20220604,1,A,54
20220606,1,A,58
20220607,1,A,225
20220608,1,A,310
20220609,1,A,292
20220610,1,A,238
20220611,1,A,25
20220613,1,A,261
20220614,1,A,301
20220615,1,A,162
20220616,1,A,342
20220617,1,A,235
20220618,1,A,39
20220620,1,A,241
20220621,1,A,240
20220622,1,A,295
20220623,1,A,367
20220624,1,A,274
20220625,1,A,15
20220627,1,A,250
20220628,1,A,237
20220629,1,A,321
20220630,1,A,270
20220701,1,A,195
20220702,1,A,81
20220704,1,A,286
20220705,1,A,255
20220706,1,A,264
20220707,1,A,367
20220708,1,A,153
20220709,1,A,73
20220711,1,A,250
20220712,1,A,297
20220713,1,A,243
20220714,1,A,223
20220715,1,A,88
20220716,1,A,169
20220718,1,A,201
20220719,1,A,292
20220720,1,A,282
20220721,1,A,115
20220722,1,A,100
20220723,1,A,36
20220725,1,A,219
20220726,1,A,69
20220727,1,A,144
20220728,1,A,97
20220729,1,A,526
20220730,1,A,96
20220801,1,A,166
20220802,1,A,229
20220803,1,A,334
20220804,1,A,226
20220805,1,A,328
20220806,1,A,88
20220808,1,A,229
20220809,1,A,258
20220810,1,A,327
20220811,1,A,91
20220812,1,A,106
20220813,1,A,40
20220816,1,A,313
20220817,1,A,273
20220818,1,A,337
20220819,1,A,292
20220820,1,A,22
20220822,1,A,298
20220823,1,A,351
20220824,1,A,492
20220825,1,A,241
20220826,1,A,388
20220827,1,A,25
20220829,1,A,187
20220830,1,A,216
20220831,1,A,457
20220901,1,A,342
20220902,1,A,217
20220903,1,A,183
20220905,1,A,337
20220906,1,A,222
20220907,1,A,276
20220908,1,A,231
20220912,1,A,10
20220913,1,A,394
20220914,1,A,139
20220915,1,A,421
20220916,1,A,310
20220917,1,A,76
20220919,1,A,183
20220920,1,A,372
20220921,1,A,273
20220922,1,A,439
20220923,1,A,267
20220924,1,A,40
20220926,1,A,294
20220927,1,A,262
20220928,1,A,426
20220929,1,A,297
20220930,1,A,259
20221001,1,A,13
20221003,1,A,37
20221004,1,A,234
20221005,1,A,261
20221006,1,A,244
20221007,1,A,271
20221008,1,A,27
20221010,1,A,75
20221011,1,A,217
20221012,1,A,322
20221013,1,A,315
20221014,1,A,405
20221015,1,A,7
20221017,1,A,298
20221018,1,A,255
20221019,1,A,448
20221020,1,A,427
20221021,1,A,196
20221022,1,A,28
20221024,1,A,354
20221025,1,A,237
20221026,1,A,294
20221027,1,A,240
20221028,1,A,222
20221029,1,A,88
20221031,1,A,298
20221101,1,A,499
20221102,1,A,442
20221103,1,A,583
20221104,1,A,559
20221105,1,A,63
20221107,1,A,502
20221108,1,A,370
20221109,1,A,619
20221110,1,A,363
20221111,1,A,681
20221112,1,A,96
20221114,1,A,336
20221115,1,A,585
20221116,1,A,427
20221117,1,A,492
20221118,1,A,415
20221119,1,A,1
20221121,1,A,603
20221122,1,A,435
20221123,1,A,544
20221124,1,A,376
20221125,1,A,205
20221126,1,A,45
20221128,1,A,639
20221129,1,A,433
20221130,1,A,244
20221201,1,A,513
20221202,1,A,325
20221203,1,A,37
20221205,1,A,373
20221206,1,A,237
20221207,1,A,289
20221208,1,A,352
20221209,1,A,342
20221210,1,A,114
20221212,1,A,247
20221213,1,A,301
20221214,1,A,342
20221215,1,A,177
20221216,1,A,328
20221217,1,A,19
20221219,1,A,313
20221220,1,A,202
20221221,1,A,292
20221222,1,A,262
20221223,1,A,214
20221224,1,A,19
20221226,1,A,382
20221227,1,A,201
20221228,1,A,337
20221229,1,A,375
20221230,1,A,322
20221231,1,A,16
20230102,1,A,198
20230103,1,A,271
20230104,1,A,270
20230105,1,A,372
20230106,1,A,282
20230107,1,A,42
20230109,1,A,373
20230110,1,A,283
20230111,1,A,310
20230112,1,A,330
20230113,1,A,186
20230114,1,A,109
20230116,1,A,226
20230117,1,A,252
20230118,1,A,219
20230119,1,A,226
20230120,1,A,141
20230125,1,A,315
20230126,1,A,106
20230127,1,A,232
20230128,1,A,22
20230130,1,A,457
20230131,1,A,390
20230201,1,A,348
20230202,1,A,211
20230203,1,A,306
20230204,1,A,121
20230206,1,A,313
20230207,1,A,237
20230208,1,A,429
20230209,1,A,180
20230210,1,A,189
20230211,1,A,60
20230213,1,A,225
20230214,1,A,325
20230215,1,A,358
20230216,1,A,373
20230217,1,A,175
20230218,1,A,42
20230220,1,A,246
20230221,1,A,213
20230222,1,A,441
20230223,1,A,196
20230224,1,A,184
20230227,1,A,385
20230228,1,A,132
20230301,1,A,121
20230302,1,A,262
20230303,1,A,297
20230304,1,A,102
20230306,1,A,232
20230307,1,A,181
20230308,1,A,276
20230309,1,A,424
20230310,1,A,246
20230311,1,A,49
20230313,1,A,289
20230314,1,A,183
20230315,1,A,258
20230316,1,A,264
20230317,1,A,357
20230318,1,A,87
20230320,1,A,226
20230321,1,A,298
20230322,1,A,310
20230323,1,A,303
20230324,1,A,235
20230325,1,A,94
20230327,1,A,259
20230328,1,A,169
20230329,1,A,300
20230330,1,A,246
20230331,1,A,255
20230401,1,A,120
20230403,1,A,229
20230404,1,A,424
20230405,1,A,271
20230406,1,A,216
20230407,1,A,367
20230408,1,A,103
20230410,1,A,289
20230411,1,A,258
20230412,1,A,234
20230413,1,A,388
20230414,1,A,253
20230415,1,A,63
20230417,1,A,484
20230418,1,A,213
20230419,1,A,277
20230420,1,A,343
20230421,1,A,342
